Title,Released,Prod_Budget,Dom_Gross,World_Gross
Charlie's Angels,2000-11-03,90000000.0,125305545.0,259736090.0
Ice Age: Dawn of the Dinosaurs,2009-07-01,90000000.0,196573705.0,859701857.0
Sherlock Holmes,2009-12-25,90000000.0,209028679.0,498438212.0
Now You See Me 2,2016-06-10,90000000.0,60013460.0,215613460.0
Contact,1997-07-11,90000000.0,100920329.0,165900000.0
Hollow Man,2000-08-04,90000000.0,73209340.0,191200000.0
You Don't Mess With the Zohan,2008-06-06,90000000.0,100018837.0,202910991.0
The Interpreter,2005-04-22,90000000.0,72708161.0,162753837.0
K-19: The Widowmaker,2002-07-19,90000000.0,35168966.0,65716126.0
The Girl with the Dragon Tattoo,2011-12-20,90000000.0,102515793.0,239373970.0
Artificial Intelligence: AI,2001-06-29,90000000.0,78616689.0,235900000.0
Alvin and the Chipmunks: The Road Chip,2015-12-18,90000000.0,85886987.0,235296080.0
Mission to Mars,2000-03-10,90000000.0,60874615.0,106000000.0
